SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
1/23/20,Winter,2,Michael Williams Building,MWB,MWB9,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB9 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB1,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB1 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB2,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB2 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB3,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB3 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB4,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB4 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB5,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB5 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB6,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB6 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB7,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB7 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB8,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB8 NA,
1/23/20,Winter,2,David Turpin Building,DTB,DTB9,14:12,14:21,JO,N,none,n,n,n,NA,2020-01-23 DTB9 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA1,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA1 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA2,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA2 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA3,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA3 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA4,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA4 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA5,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA5 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA6,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA6 NA,
1/23/20,Winter,2,Fine Arts Building,FIA,FIA7,14:24,14:36,JO,N,none,n,n,n,NA,2020-01-23 FIA7 NA,
1/24/20,Winter,5,Engineering Office Wing,EOW,EOW1,12:56,13:04,JO,N,none,n,n,n,NA,2020-01-24 EOW1 NA,
1/24/20,Winter,5,Engineering Office Wing,EOW,EOW2,12:56,13:04,JO,N,none,n,n,n,NA,2020-01-24 EOW2 NA,
1/24/20,Winter,5,Engineering Office Wing,EOW,EOW3,12:56,13:04,JO,Y,feather smear,s,w,6,unknown,2020-01-24 EOW3 unknown,
1/24/20,Winter,5,Engineering Office Wing,EOW,EOW4,12:56,13:04,JO,N,none,n,n,n,NA,2020-01-24 EOW4 NA,
1/24/20,Winter,5,Engineering Office Wing,EOW,EOW5,12:56,13:04,JO,N,none,n,n,n,NA,2020-01-24 EOW5 NA,
1/24/20,Winter,5,Engineering Office Wing,EOW,EOW6,12:56,13:04,JO,N,none,n,n,n,NA,2020-01-24 EOW6 NA,
1/24/20,Winter,2,University Centre,UVC,UVC1,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC1 NA,
1/24/20,Winter,2,University Centre,UVC,UVC10,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC10 NA,
1/24/20,Winter,2,University Centre,UVC,UVC11,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC11 NA,
1/24/20,Winter,2,University Centre,UVC,UVC2,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC2 NA,
1/24/20,Winter,2,University Centre,UVC,UVC3,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC3 NA,
1/24/20,Winter,2,University Centre,UVC,UVC4,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC4 NA,
1/24/20,Winter,2,University Centre,UVC,UVC5,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC5 NA,
1/24/20,Winter,2,University Centre,UVC,UVC6,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC6 NA,
1/24/20,Winter,2,University Centre,UVC,UVC7,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC7 NA,
1/24/20,Winter,2,University Centre,UVC,UVC8,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC8 NA,
1/24/20,Winter,2,University Centre,UVC,UVC9,13:12,13:26,JO,N,none,n,n,n,NA,2020-01-24 UVC9 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB1,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB1 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB10,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB10 NA,
1/24/20,Winter,1,Michael Williams Building,MWB,MWB2,13:30,13:41,JO,N,none,n,n,n,NA,2020-01-24 MWB2 NA,
